age,education_num,is_male,hours_per_week,is_us_native,had_capital_loss_or_gain,high_income,test,sex,education_simp,workclass_simp,maritalstat_simp,occupation,race,salary
39,13,1,40,1,1,0,0,Male,bachelors,government,single,Adm_clerical,White,<50K
50,13,1,13,1,0,0,0,Male,bachelors,self_emp,married,Exec_managerial,White,<50K
38,9,1,40,1,0,0,0,Male,hs_grad,private,separated,Handlers_cleaners,White,<50K
53,7,1,40,1,0,0,0,Male,not_highschool,private,married,Handlers_cleaners,Black,<50K
28,13,0,40,0,0,0,0,Female,bachelors,private,married,Prof_specialty,Black,<50K
37,14,0,40,1,0,0,0,Female,masters,private,married,Exec_managerial,White,<50K
49,5,0,16,0,0,0,0,Female,,private,married,Other_service,Black,<50K
52,9,1,45,1,0,1,0,Male,hs_grad,self_emp,married,Exec_managerial,White,>50K
31,14,0,50,1,1,1,0,Female,masters,private,single,Prof_specialty,White,>50K
42,13,1,40,1,1,1,0,Male,bachelors,private,married,Exec_managerial,White,>50K
37,10,1,80,1,0,1,0,Male,,private,married,Exec_managerial,Black,>50K
30,13,1,40,0,0,1,0,Male,bachelors,government,married,Prof_specialty,Asian_Pac_Islander,>50K
23,13,0,30,1,0,0,0,Female,bachelors,private,single,Adm_clerical,White,<50K
32,12,1,50,1,0,0,0,Male,assoc,private,single,Sales,Black,<50K
40,11,1,40,0,0,1,0,Male,assoc,private,married,Craft_repair,Asian_Pac_Islander,>50K
34,4,1,45,0,0,0,0,Male,,private,married,Transport_moving,Amer_Indian_Eskimo,<50K
25,9,1,35,1,0,0,0,Male,hs_grad,self_emp,single,Farming_fishing,White,<50K
32,9,1,40,1,0,0,0,Male,hs_grad,private,single,Machine_op_inspct,White,<50K
38,7,1,50,1,0,0,0,Male,not_highschool,private,married,Sales,White,<50K
43,14,0,45,1,0,1,0,Female,masters,self_emp,separated,Exec_managerial,White,>50K
40,16,1,60,1,0,1,0,Male,doctorate,private,married,Prof_specialty,White,>50K
54,9,0,20,1,0,0,0,Female,hs_grad,private,separated,Other_service,Black,<50K
35,5,1,40,1,0,0,0,Male,,government,married,Farming_fishing,Black,<50K
43,7,1,40,1,1,0,0,Male,not_highschool,private,married,Transport_moving,White,<50K
